Keyword,Frequency
방문 하겠습니다,7
방문 할께요,7
배달 시켜,7
버터크림 라떼,7
번째 방문,7
벨벳,7
보고 싶네요,7
보고싶어요,7
보았는데,7
부드러운 크림,7
부드러워서,7
분위기 아늑하고,7
분위기 좋구,7
분위기 좋은 카페,7
불편해요,7
블렌드,7
블루 라떼,7
비스킷 플로,7
비싸지만,7
뽀또,7
사고,7
사장 친절하시고 분위기,7
산미 있는 커피,7
상태,7
선물 하기도,7
선택 가능해서,7
성수,7
소리,7
소문,7
수박,7
스콘 맛있어요,7
스콘 이랑,7
시간대,7
시험,7
아늑한 분위기,7
아니고,7
아니지만,7
아들,7
아쉬웠어요,7
아이스크림 라떼,7
아이스크림 크로,7
앉아서,7
않아,7
알았는데,7
약속,7
양도 많고,7
어떤,7
어울려서,7
어울리는,7
없을,7
에그타르트 소금,7
에그타르트 스콘,7
여자,7
여자친구,7
여쭤,7
였는데,7
예전,7
예정 입니다,7
오전,7
왔는데 커피,7
왔어요 커피,7
외부,7
요거트 맛있어요,7
으론,7
음악 너무,7
이라 그런지,7
이라 좋아요,7
이미,7
이쁘고 커피,7
이에요 ㅎㅎ,7
인테리어 깔끔하고,7
인테리어 예뻐요,7
일단 커피,7
읽기,7
입장,7
있다가,7
있어서 너무 좋아요,7
있어서 좋았어요,7
있지만,7
자주 방문 하는,7
자주 애용,7
장사,7
적립,7
조용하게,7
존맛 이에요,7
종류 엄청,7
좋고 음료,7
좋고 커피 맛있어요,7
좋아요 공릉,7
좋으네요,7
좋은 커피,7
좋지,7
진짜 맛있습니다,7
진하고 맛있어요,7
집앞,7
창가 에서,7
찾아서,7
처음 인데,7
철길 카페,7
체리,7
초록,7
촉촉,7
최근,7
추운,7
출근,7
충분히,7
취향 저격,7
친절하셔서 기분,7
친절하시고 맛있어요,7
카드,7
카페 거리,7
카페 발견,7
카페 하나,7
커피 너무 좋아요,7
커피 마시러,7
커피 맛집 입니다,7
커피 제일,7
커피 케이크,7
쾌적해요,7
쿠키 너무 맛있어요,7
크로 맛집,7
탄산,7
특색,7
특이하고,7
티라미슈,7
파인,7
팝송,7
하려고,7
하신,7
하여,7
학생,7
해주신,7
했는데 너무,7
했더니,7
행복,7
화이트 마카,7
화이트 마카 미아,7
휘드 카페,7
힐링 하고,7
60,6
hoipolloi,6
hoipolloi coffee,6
ㅋㅋㅋㅋ,6
ㅋㅋㅋㅋㅋ,6
ㅎㅎㅎㅎ,6
ㅜㅠ,6
가격 착하고,6
가기 좋은,6
가까이,6
가능해서 좋아요,6
가능해요,6
가봤어요,6
가성 좋아요,6
가을,6
간만,6
갈께요,6
감각,6
강아지 간식,6
같아요 ㅎㅎ,6
같아요 사장,6
같아요 커피,6
거기,6
거품,6
걱정,6
게다가,6
견과류,6
계절,6
고객,6
고르기,6
고소하고 맛있어요,6
공간 너무,6
공릉 오면,6
공릉 철길 카페,6
공릉 카페 hoipolloi,6
공릉 카페 거리,6
공릉동 최애 카페,6
공부 하기 좋아요,6
구매 했는데,6
귀여워서,6
그리고 무엇 보다,6
그리고 사장,6
금토,6
금토 일만,6
기간,6
기분 좋아져요,6
깨끗해서,6
꼬끄,6
나름,6
나왔네요,6
나왔어요,6
남아,6
납니다,6
낭시 마카롱,6
내부 인테리어,6
너무 예뻐서,6
너무 좋고 사장,6
넓어서 좋아요,6
넓어요,6
넘게,6
넛츠,6
느껴지고,6
느끼하지 않고,6
다른 먹어,6
다른 카페,6
다양하고 맛있어요,6
다음 에도,6
단골 카페,6
담백하고,6
대기,6
대해,6
더운 여름,6
더워서,6
데이트 하기,6
데코,6
도장,6
동네 에서,6
동네 이런,6
동네 카페,6
동반 가능해서,6
되었는데,6
될거,6
드립니다,6
드실,6
들렸는데,6
들어가서,6
들어갔다가,6
들어있어요,6
듭니,6
디저트 너무 맛있고,6
디저트 맛있는,6
디저트 진짜,6
디카 페인 있어서,6
라떼 주문,6
라면,6
레드 벨벳,6
레몬에이드,6
마감,6
마들렌 마카롱,6
마시니,6
마싯어요,6
마지막,6
마카롱 맛있어요,6
많구,6
많아서 좋아요,6
맛보고,6
맛볼,6
맛있고 음료,6
맛있고 친절하세요,6
맛있는 빵집,6
맛있어요 ㅠㅠㅠㅠ,6
맛있어요 인테리어,6
맛있어요 카페,6
맛있어요 크림,6
